id,order_id,product_id,quantity,unit_price
1,1,2,3,365.58
2,1,72,1,263.01
3,2,1,3,307.27
4,3,7,3,404.03
5,4,1,1,34.34
6,4,22,2,272.43
7,4,1,2,267.93
8,5,4,3,402.15
9,5,1,2,13.61
10,5,101,1,239.53
11,5,252,1,306.6
12,6,1,3,370.97
13,6,1,1,230.79
14,6,1,3,357.47
15,6,1,1,140.48
16,7,1000,3,289.49
17,7,6,3,353.61
18,8,1,1,302.01
19,8,2,1,241.43
20,9,1,2,362.08
21,9,3,2,53.53
22,9,68,3,182.83
23,10,1,3,20.84
24,11,3,3,64.33
25,12,14,2,123.44
26,12,25,3,42.85
27,13,1,3,48.65
28,14,8,1,305.74
29,14,1,2,93.44
30,14,11,1,336.15
31,14,1,3,335.88
32,15,1,1,335.29
33,15,6,1,113.85
34,15,1,3,198.55
35,15,5,3,273.73
36,16,1,1,42.54
37,16,1,3,104.69
38,16,1,1,101.89
39,17,1,3,478.03
40,18,10,1,43.35
41,18,1000,1,388.37
42,18,9,2,202.1
43,18,1,1,362.08
44,19,3,3,33.8
45,19,1,1,335.18
46,20,147,3,468.16
47,20,3,1,308.68
48,21,34,3,344.17
49,21,2,2,29.31
50,21,2,1,442.25
51,22,6,1,425.83
52,22,1,1,135.71
53,23,2,2,48.61
54,23,1,1,196.38
55,23,3,1,382.53
56,23,1,2,437.81
57,24,11,2,264.86
58,24,5,1,174.82
59,24,6,1,180.77
60,24,22,2,139.85
61,25,1,2,45.12
62,25,1,3,184.78
63,25,1,2,193.19
64,25,5,2,456.34
65,26,4,3,267.83
66,27,4,2,102.23
67,27,6,1,409.74
68,27,1000,1,462.0
69,28,20,1,91.51
70,28,22,3,168.5
71,28,1,3,427.66
72,28,54,1,152.9
73,29,5,3,311.78
74,29,1,1,351.87
75,30,1,1,290.8
76,31,8,2,237.05
77,32,1,3,50.08
78,32,1,1,237.07
79,32,1,3,413.29
80,32,5,1,303.45
81,33,1,3,303.66
82,34,1,1,356.82
83,35,1000,1,390.46
84,36,2,2,327.33
85,37,3,2,374.3
86,38,3,2,269.34
87,38,1000,3,451.95
88,39,1,3,427.17
89,39,2,2,99.24
90,39,2,2,402.76
91,40,1,1,294.13
92,41,2,1,331.56
93,42,3,3,379.67
94,42,12,3,270.22
95,42,1,2,386.62
96,42,539,3,56.19
97,43,4,2,426.93
98,43,2,2,143.64
99,43,1,2,475.23
100,44,1,3,356.17
101,45,7,3,324.42
